tournament_id,match_id,stage_name,group_stage,knockout_stage,match_date,match_time,match_datetime,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout
WC-2006,M-2006-22,group stage,1,0,2006-06-16,18:00,2006-06-16 18:00:00,Stuttgart,Germany,T-48,Netherlands,NLD,T-42,Ivory Coast,CIV,2,1,1,-1,0,0
WC-2006,M-2006-23,group stage,1,0,2006-06-16,21:00,2006-06-16 21:00:00,Hanover,Germany,T-46,Mexico,MEX,T-02,Angola,AGO,0,0,0,0,0,0
WC-2006,M-2006-24,group stage,1,0,2006-06-17,15:00,2006-06-17 15:00:00,Frankfurt,Germany,T-58,Portugal,PRT,T-38,Iran,IRN,2,0,2,-2,0,0
WC-2006,M-2006-25,group stage,1,0,2006-06-17,18:00,2006-06-17 18:00:00,Cologne,Germany,T-20,Czech Republic,CZE,T-32,Ghana,GHA,0,2,-2,2,0,0
WC-2006,M-2006-26,group stage,1,0,2006-06-17,21:00,2006-06-17 21:00:00,Kaiserslautern,Germany,T-41,Italy,ITA,T-83,United States,USA,1,1,0,0,0,0
WC-2006,M-2006-28,group stage,1,0,2006-06-18,18:00,2006-06-18 18:00:00,Munich,Germany,T-09,Brazil,BRA,T-04,Australia,AUS,2,0,2,-2,0,0
WC-2006,M-2006-29,group stage,1,0,2006-06-18,21:00,2006-06-18 21:00:00,Leipzig,Germany,T-30,France,FRA,T-71,South Korea,KOR,1,1,0,0,0,0
WC-2006,M-2006-27,group stage,1,0,2006-06-18,15:00,2006-06-18 15:00:00,Nuremberg,Germany,T-44,Japan,JPN,T-18,Croatia,HRV,0,0,0,0,0,0
WC-2006,M-2006-30,group stage,1,0,2006-06-19,15:00,2006-06-19 15:00:00,Dortmund,Germany,T-77,Togo,TGO,T-75,Switzerland,CHE,0,2,-2,2,0,0
WC-2006,M-2006-31,group stage,1,0,2006-06-19,18:00,2006-06-19 18:00:00,Hamburg,Germany,T-63,Saudi Arabia,SAU,T-81,Ukraine,UKR,0,4,-4,4,0,0
WC-2006,M-2006-32,group stage,1,0,2006-06-19,21:00,2006-06-19 21:00:00,Stuttgart,Germany,T-73,Spain,ESP,T-79,Tunisia,TUN,3,1,2,-2,0,0
WC-2006,M-2006-33,group stage,1,0,2006-06-20,16:00,2006-06-20 16:00:00,Hanover,Germany,T-17,Costa Rica,CRI,T-57,Poland,POL,1,2,-1,1,0,0
WC-2006,M-2006-34,group stage,1,0,2006-06-20,16:00,2006-06-20 16:00:00,Berlin,Germany,T-25,Ecuador,ECU,T-31,Germany,DEU,0,3,-3,3,0,0
WC-2006,M-2006-35,group stage,1,0,2006-06-20,21:00,2006-06-20 21:00:00,Kaiserslautern,Germany,T-55,Paraguay,PRY,T-78,Trinidad and Tobago,TTO,2,0,2,-2,0,0
WC-2006,M-2006-36,group stage,1,0,2006-06-20,21:00,2006-06-20 21:00:00,Cologne,Germany,T-74,Sweden,SWE,T-28,England,ENG,2,2,0,0,0,0
WC-2006,M-2006-40,group stage,1,0,2006-06-21,21:00,2006-06-21 21:00:00,Frankfurt,Germany,T-48,Netherlands,NLD,T-03,Argentina,ARG,0,0,0,0,0,0
WC-2006,M-2006-39,group stage,1,0,2006-06-21,21:00,2006-06-21 21:00:00,Munich,Germany,T-42,Ivory Coast,CIV,T-67,Serbia and Montenegro,SCG,3,2,1,-1,0,0
WC-2006,M-2006-38,group stage,1,0,2006-06-21,16:00,2006-06-21 16:00:00,Gelsenkirchen,Germany,T-58,Portugal,PRT,T-46,Mexico,MEX,2,1,1,-1,0,0
WC-2006,M-2006-37,group stage,1,0,2006-06-21,16:00,2006-06-21 16:00:00,Leipzig,Germany,T-38,Iran,IRN,T-02,Angola,AGO,1,1,0,0,0,0
WC-2006,M-2006-41,group stage,1,0,2006-06-22,16:00,2006-06-22 16:00:00,Hamburg,Germany,T-20,Czech Republic,CZE,T-41,Italy,ITA,0,2,-2,2,0,0
WC-2006,M-2006-42,group stage,1,0,2006-06-22,16:00,2006-06-22 16:00:00,Nuremberg,Germany,T-32,Ghana,GHA,T-83,United States,USA,2,1,1,-1,0,0
WC-2006,M-2006-43,group stage,1,0,2006-06-22,21:00,2006-06-22 21:00:00,Stuttgart,Germany,T-18,Croatia,HRV,T-04,Australia,AUS,2,2,0,0,0,0
WC-2006,M-2006-44,group stage,1,0,2006-06-22,21:00,2006-06-22 21:00:00,Dortmund,Germany,T-44,Japan,JPN,T-09,Brazil,BRA,1,4,-3,3,0,0
WC-2006,M-2006-47,group stage,1,0,2006-06-23,21:00,2006-06-23 21:00:00,Hanover,Germany,T-75,Switzerland,CHE,T-71,South Korea,KOR,2,0,2,-2,0,0
WC-2006,M-2006-48,group stage,1,0,2006-06-23,21:00,2006-06-23 21:00:00,Cologne,Germany,T-77,Togo,TGO,T-30,France,FRA,0,2,-2,2,0,0
WC-2006,M-2006-45,group stage,1,0,2006-06-23,16:00,2006-06-23 16:00:00,Kaiserslautern,Germany,T-63,Saudi Arabia,SAU,T-73,Spain,ESP,0,1,-1,1,0,0
WC-2006,M-2006-46,group stage,1,0,2006-06-23,16:00,2006-06-23 16:00:00,Berlin,Germany,T-81,Ukraine,UKR,T-79,Tunisia,TUN,1,0,1,-1,0,0
WC-2006,M-2006-49,round of 16,0,1,2006-06-24,17:00,2006-06-24 17:00:00,Munich,Germany,T-31,Germany,DEU,T-74,Sweden,SWE,2,0,2,-2,0,0
WC-2006,M-2006-50,round of 16,0,1,2006-06-24,21:00,2006-06-24 21:00:00,Leipzig,Germany,T-03,Argentina,ARG,T-46,Mexico,MEX,2,1,1,-1,1,0
WC-2006,M-2006-51,round of 16,0,1,2006-06-25,17:00,2006-06-25 17:00:00,Stuttgart,Germany,T-28,England,ENG,T-25,Ecuador,ECU,1,0,1,-1,0,0
WC-2006,M-2006-52,round of 16,0,1,2006-06-25,21:00,2006-06-25 21:00:00,Nuremberg,Germany,T-58,Portugal,PRT,T-48,Netherlands,NLD,1,0,1,-1,0,0
WC-2006,M-2006-53,round of 16,0,1,2006-06-26,17:00,2006-06-26 17:00:00,Kaiserslautern,Germany,T-41,Italy,ITA,T-04,Australia,AUS,1,0,1,-1,0,0
WC-2006,M-2006-54,round of 16,0,1,2006-06-26,21:00,2006-06-26 21:00:00,Cologne,Germany,T-75,Switzerland,CHE,T-81,Ukraine,UKR,0,0,0,0,1,1
WC-2006,M-2006-55,round of 16,0,1,2006-06-27,17:00,2006-06-27 17:00:00,Dortmund,Germany,T-09,Brazil,BRA,T-32,Ghana,GHA,3,0,3,-3,0,0
WC-2006,M-2006-56,round of 16,0,1,2006-06-27,21:00,2006-06-27 21:00:00,Hanover,Germany,T-73,Spain,ESP,T-30,France,FRA,1,3,-2,2,0,0
WC-2006,M-2006-58,quarter-finals,0,1,2006-06-30,21:00,2006-06-30 21:00:00,Hamburg,Germany,T-41,Italy,ITA,T-81,Ukraine,UKR,3,0,3,-3,0,0
WC-2006,M-2006-57,quarter-finals,0,1,2006-06-30,17:00,2006-06-30 17:00:00,Berlin,Germany,T-31,Germany,DEU,T-03,Argentina,ARG,1,1,0,0,1,1
WC-2006,M-2006-59,quarter-finals,0,1,2006-07-01,17:00,2006-07-01 17:00:00,Gelsenkirchen,Germany,T-28,England,ENG,T-58,Portugal,PRT,0,0,0,0,1,1
WC-2006,M-2006-60,quarter-finals,0,1,2006-07-01,21:00,2006-07-01 21:00:00,Frankfurt,Germany,T-09,Brazil,BRA,T-30,France,FRA,0,1,-1,1,0,0
WC-2006,M-2006-61,semi-finals,0,1,2006-07-04,21:00,2006-07-04 21:00:00,Dortmund,Germany,T-31,Germany,DEU,T-41,Italy,ITA,0,2,-2,2,1,0
WC-2006,M-2006-62,semi-finals,0,1,2006-07-05,21:00,2006-07-05 21:00:00,Munich,Germany,T-58,Portugal,PRT,T-30,France,FRA,0,1,-1,1,0,0
WC-2006,M-2006-63,third-place match,0,1,2006-07-08,21:00,2006-07-08 21:00:00,Stuttgart,Germany,T-31,Germany,DEU,T-58,Portugal,PRT,3,1,2,-2,0,0
WC-2006,M-2006-64,final,0,1,2006-07-09,20:00,2006-07-09 20:00:00,Berlin,Germany,T-41,Italy,ITA,T-30,France,FRA,1,1,0,0,1,1
WC-2010,M-2010-02,group stage,1,0,2010-06-11,20:30,2010-06-11 20:30:00,Cape Town,South Africa,T-84,Uruguay,URY,T-30,France,FRA,0,0,0,0,0,0
WC-2010,M-2010-01,group stage,1,0,2010-06-11,16:00,2010-06-11 16:00:00,Johannesburg,South Africa,T-70,South Africa,ZAF,T-46,Mexico,MEX,1,1,0,0,0,0
WC-2010,M-2010-03,group stage,1,0,2010-06-12,13:30,2010-06-12 13:30:00,Port Elizabeth,South Africa,T-71,South Korea,KOR,T-33,Greece,GRC,2,0,2,-2,0,0
WC-2010,M-2010-04,group stage,1,0,2010-06-12,16:00,2010-06-12 16:00:00,Johannesburg,South Africa,T-03,Argentina,ARG,T-50,Nigeria,NGA,1,0,1,-1,0,0
