tournament_id,match_id,match_date,stage_name,match_period,team_id,team_name,home_team,away_team,card_minute,is_yellow,is_red
WC-2018,M-2018-23,2018-06-21,group stage,second half,T-18,Croatia,0,1,58,True,False
WC-2018,M-2018-23,2018-06-21,group stage,second half,T-18,Croatia,0,1,67,True,False
WC-2018,M-2018-23,2018-06-21,group stage,second half,T-03,Argentina,1,0,85,True,False
WC-2018,M-2018-23,2018-06-21,group stage,second half,T-03,Argentina,1,0,87,True,False
WC-2018,M-2018-23,2018-06-21,group stage,"second half, stoppage time",T-18,Croatia,0,1,94,True,False
WC-2018,M-2018-24,2018-06-22,group stage,second half,T-09,Brazil,1,0,81,True,False
WC-2018,M-2018-24,2018-06-22,group stage,second half,T-09,Brazil,1,0,81,True,False
WC-2018,M-2018-24,2018-06-22,group stage,second half,T-17,Costa Rica,0,1,84,True,False
WC-2018,M-2018-25,2018-06-22,group stage,first half,T-50,Nigeria,1,0,44,True,False
WC-2018,M-2018-26,2018-06-22,group stage,first half,T-66,Serbia,1,0,34,True,False
WC-2018,M-2018-26,2018-06-22,group stage,first half,T-66,Serbia,1,0,39,True,False
WC-2018,M-2018-26,2018-06-22,group stage,"first half, stoppage time",T-66,Serbia,1,0,47,True,False
WC-2018,M-2018-26,2018-06-22,group stage,second half,T-66,Serbia,1,0,87,True,False
WC-2018,M-2018-26,2018-06-22,group stage,"second half, stoppage time",T-75,Switzerland,0,1,91,True,False
WC-2018,M-2018-27,2018-06-23,group stage,first half,T-79,Tunisia,0,1,14,True,False
WC-2018,M-2018-28,2018-06-23,group stage,second half,T-71,Korea Republic,1,0,58,True,False
WC-2018,M-2018-28,2018-06-23,group stage,second half,T-71,Korea Republic,1,0,63,True,False
WC-2018,M-2018-28,2018-06-23,group stage,second half,T-71,Korea Republic,1,0,72,True,False
WC-2018,M-2018-28,2018-06-23,group stage,second half,T-71,Korea Republic,1,0,80,True,False
WC-2018,M-2018-29,2018-06-23,group stage,second half,T-74,Sweden,0,1,52,True,False
WC-2018,M-2018-29,2018-06-23,group stage,second half,T-31,Germany,1,0,71,True,True
WC-2018,M-2018-29,2018-06-23,group stage,"second half, stoppage time",T-74,Sweden,0,1,97,True,False
WC-2018,M-2018-30,2018-06-24,group stage,first half,T-54,Panama,0,1,10,True,False
WC-2018,M-2018-30,2018-06-24,group stage,first half,T-28,England,1,0,24,True,False
WC-2018,M-2018-30,2018-06-24,group stage,first half,T-54,Panama,0,1,44,True,False
WC-2018,M-2018-30,2018-06-24,group stage,second half,T-54,Panama,0,1,72,True,False
WC-2018,M-2018-31,2018-06-24,group stage,second half,T-65,Senegal,0,1,59,True,False
WC-2018,M-2018-31,2018-06-24,group stage,second half,T-44,Japan,1,0,68,True,False
WC-2018,M-2018-31,2018-06-24,group stage,second half,T-65,Senegal,0,1,90,True,False
WC-2018,M-2018-31,2018-06-24,group stage,"second half, stoppage time",T-65,Senegal,0,1,91,True,False
WC-2018,M-2018-31,2018-06-24,group stage,"second half, stoppage time",T-44,Japan,1,0,94,True,False
WC-2018,M-2018-32,2018-06-24,group stage,second half,T-57,Poland,1,0,61,True,False
WC-2018,M-2018-32,2018-06-24,group stage,second half,T-57,Poland,1,0,85,True,False
WC-2018,M-2018-33,2018-06-25,group stage,"first half, stoppage time",T-26,Egypt,0,1,50,True,False
WC-2018,M-2018-33,2018-06-25,group stage,second half,T-26,Egypt,0,1,86,True,False
WC-2018,M-2018-34,2018-06-25,group stage,first half,T-62,Russia,0,1,9,True,False
WC-2018,M-2018-34,2018-06-25,group stage,first half,T-62,Russia,0,1,27,True,True
WC-2018,M-2018-34,2018-06-25,group stage,second half,T-84,Uruguay,1,0,59,True,False
WC-2018,M-2018-35,2018-06-25,group stage,first half,T-47,Morocco,0,1,21,True,False
WC-2018,M-2018-35,2018-06-25,group stage,first half,T-47,Morocco,0,1,29,True,False
WC-2018,M-2018-35,2018-06-25,group stage,first half,T-47,Morocco,0,1,31,True,False
WC-2018,M-2018-35,2018-06-25,group stage,first half,T-47,Morocco,0,1,31,True,False
WC-2018,M-2018-35,2018-06-25,group stage,second half,T-47,Morocco,0,1,88,True,False
WC-2018,M-2018-35,2018-06-25,group stage,"second half, stoppage time",T-47,Morocco,0,1,93,True,False
WC-2018,M-2018-36,2018-06-25,group stage,first half,T-58,Portugal,0,1,33,True,False
WC-2018,M-2018-36,2018-06-25,group stage,second half,T-38,IR Iran,1,0,52,True,False
WC-2018,M-2018-36,2018-06-25,group stage,second half,T-38,IR Iran,1,0,54,True,False
