key_id,goal_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,minute_total
2148,G-2148,WC-2002,M-2002-28,Costa Rica vs Turkey,2002-06-09,group stage,T-17,Costa Rica,CRI,1,0,P-20880,Parks,Winston,12,T-17,Costa Rica,CRI,86',86,0,second half,False,False,86
2149,G-2149,WC-2002,M-2002-29,Japan vs Russia,2002-06-09,group stage,T-44,Japan,JPN,1,0,P-46807,Inamoto,Junichi,5,T-44,Japan,JPN,51',51,0,second half,False,False,51
2150,G-2150,WC-2002,M-2002-30,South Korea vs United States,2002-06-10,group stage,T-83,United States,USA,0,1,P-38074,Mathis,Clint,11,T-83,United States,USA,24',24,0,first half,False,False,24
2151,G-2151,WC-2002,M-2002-30,South Korea vs United States,2002-06-10,group stage,T-71,Korea Republic,KOR,1,0,P-26616,Ahn,Jung-hwan,19,T-71,Korea Republic,KOR,78',78,0,second half,False,False,78
2152,G-2152,WC-2002,M-2002-31,Tunisia vs Belgium,2002-06-10,group stage,T-06,Belgium,BEL,0,1,P-69659,Wilmots,Marc,7,T-06,Belgium,BEL,13',13,0,first half,False,False,13
2153,G-2153,WC-2002,M-2002-31,Tunisia vs Belgium,2002-06-10,group stage,T-79,Tunisia,TUN,1,0,P-87702,Bouzaiene,Raouf,12,T-79,Tunisia,TUN,17',17,0,first half,False,False,17
2154,G-2154,WC-2002,M-2002-32,Portugal vs Poland,2002-06-10,group stage,T-58,Portugal,PRT,1,0,P-57982,Pauleta,not applicable,9,T-58,Portugal,PRT,14',14,0,first half,False,False,14
2155,G-2155,WC-2002,M-2002-32,Portugal vs Poland,2002-06-10,group stage,T-58,Portugal,PRT,1,0,P-57982,Pauleta,not applicable,9,T-58,Portugal,PRT,65',65,0,second half,False,False,65
2156,G-2156,WC-2002,M-2002-32,Portugal vs Poland,2002-06-10,group stage,T-58,Portugal,PRT,1,0,P-57982,Pauleta,not applicable,9,T-58,Portugal,PRT,77',77,0,second half,False,False,77
2157,G-2157,WC-2002,M-2002-32,Portugal vs Poland,2002-06-10,group stage,T-58,Portugal,PRT,1,0,P-62808,Costa,Rui,10,T-58,Portugal,PRT,88',88,0,second half,False,False,88
2158,G-2158,WC-2002,M-2002-33,Denmark vs France,2002-06-11,group stage,T-22,Denmark,DNK,1,0,P-80170,Rommedahl,Dennis,19,T-22,Denmark,DNK,22',22,0,first half,False,False,22
2159,G-2159,WC-2002,M-2002-33,Denmark vs France,2002-06-11,group stage,T-22,Denmark,DNK,1,0,P-50534,Tomasson,Jon Dahl,9,T-22,Denmark,DNK,67',67,0,second half,False,False,67
2160,G-2160,WC-2002,M-2002-34,Senegal vs Uruguay,2002-06-11,group stage,T-65,Senegal,SEN,1,0,P-62977,Fadiga,Khalilou,10,T-65,Senegal,SEN,20',20,0,first half,False,True,20
2161,G-2161,WC-2002,M-2002-34,Senegal vs Uruguay,2002-06-11,group stage,T-65,Senegal,SEN,1,0,P-82212,Diop,Papa Bouba,19,T-65,Senegal,SEN,26',26,0,first half,False,False,26
2162,G-2162,WC-2002,M-2002-34,Senegal vs Uruguay,2002-06-11,group stage,T-65,Senegal,SEN,1,0,P-82212,Diop,Papa Bouba,19,T-65,Senegal,SEN,38',38,0,first half,False,False,38
2163,G-2163,WC-2002,M-2002-34,Senegal vs Uruguay,2002-06-11,group stage,T-84,Uruguay,URY,0,1,P-48761,Morales,Richard,18,T-84,Uruguay,URY,46',46,0,second half,False,False,46
2164,G-2164,WC-2002,M-2002-34,Senegal vs Uruguay,2002-06-11,group stage,T-84,Uruguay,URY,0,1,P-86087,Forlán,Diego,21,T-84,Uruguay,URY,69',69,0,second half,False,False,69
2165,G-2165,WC-2002,M-2002-34,Senegal vs Uruguay,2002-06-11,group stage,T-84,Uruguay,URY,0,1,P-66684,Recoba,Álvaro,20,T-84,Uruguay,URY,88',88,0,second half,False,True,88
2166,G-2166,WC-2002,M-2002-35,Cameroon vs Germany,2002-06-11,group stage,T-31,Germany,DEU,0,1,P-03026,Bode,Marco,17,T-31,Germany,DEU,50',50,0,second half,False,False,50
2167,G-2167,WC-2002,M-2002-35,Cameroon vs Germany,2002-06-11,group stage,T-31,Germany,DEU,0,1,P-27787,Klose,Miroslav,11,T-31,Germany,DEU,79',79,0,second half,False,False,79
2168,G-2168,WC-2002,M-2002-36,Saudi Arabia vs Republic of Ireland,2002-06-11,group stage,T-60,Republic Of Ireland,IRL,0,1,P-84878,Keane,Robbie,10,T-60,Republic Of Ireland,IRL,7',7,0,first half,False,False,7
2169,G-2169,WC-2002,M-2002-36,Saudi Arabia vs Republic of Ireland,2002-06-11,group stage,T-60,Republic Of Ireland,IRL,0,1,P-22209,Breen,Gary,14,T-60,Republic Of Ireland,IRL,61',61,0,second half,False,False,61
2170,G-2170,WC-2002,M-2002-36,Saudi Arabia vs Republic of Ireland,2002-06-11,group stage,T-60,Republic Of Ireland,IRL,0,1,P-18106,Duff,Damien,9,T-60,Republic Of Ireland,IRL,87',87,0,second half,False,False,87
2171,G-2171,WC-2002,M-2002-38,Sweden vs Argentina,2002-06-12,group stage,T-74,Sweden,SWE,1,0,P-85432,Svensson,Anders,8,T-74,Sweden,SWE,59',59,0,second half,False,False,59
2172,G-2172,WC-2002,M-2002-38,Sweden vs Argentina,2002-06-12,group stage,T-03,Argentina,ARG,0,1,P-19888,Crespo,Hernán,19,T-03,Argentina,ARG,88',88,0,second half,False,False,88
2173,G-2173,WC-2002,M-2002-39,Slovenia vs Paraguay,2002-06-12,group stage,T-69,Slovenia,SVN,1,0,P-44943,Ačimovič,Milenko,18,T-69,Slovenia,SVN,45'+1',45,1,"first half, stoppage time",False,False,46
2174,G-2174,WC-2002,M-2002-39,Slovenia vs Paraguay,2002-06-12,group stage,T-55,Paraguay,PRY,0,1,P-88899,Cuevas,Nelson,23,T-55,Paraguay,PRY,65',65,0,second half,False,False,65
2175,G-2175,WC-2002,M-2002-39,Slovenia vs Paraguay,2002-06-12,group stage,T-55,Paraguay,PRY,0,1,P-78557,Campos,Jorge Luis,11,T-55,Paraguay,PRY,73',73,0,second half,False,False,73
2176,G-2176,WC-2002,M-2002-39,Slovenia vs Paraguay,2002-06-12,group stage,T-55,Paraguay,PRY,0,1,P-88899,Cuevas,Nelson,23,T-55,Paraguay,PRY,84',84,0,second half,False,False,84
2177,G-2177,WC-2002,M-2002-40,South Africa vs Spain,2002-06-12,group stage,T-73,Spain,ESP,0,1,P-24556,Raúl,not applicable,7,T-73,Spain,ESP,4',4,0,first half,False,False,4
2178,G-2178,WC-2002,M-2002-40,South Africa vs Spain,2002-06-12,group stage,T-70,South Africa,ZAF,1,0,P-59298,McCarthy,Benni,17,T-70,South Africa,ZAF,31',31,0,first half,False,False,31
2179,G-2179,WC-2002,M-2002-40,South Africa vs Spain,2002-06-12,group stage,T-73,Spain,ESP,0,1,P-37161,Mendieta,Gaizka,16,T-73,Spain,ESP,45'+1',45,1,"first half, stoppage time",False,False,46
2180,G-2180,WC-2002,M-2002-40,South Africa vs Spain,2002-06-12,group stage,T-70,South Africa,ZAF,1,0,P-56543,Radebe,Lucas,19,T-70,South Africa,ZAF,53',53,0,second half,False,False,53
2181,G-2181,WC-2002,M-2002-40,South Africa vs Spain,2002-06-12,group stage,T-73,Spain,ESP,0,1,P-24556,Raúl,not applicable,7,T-73,Spain,ESP,56',56,0,second half,False,False,56
